NO,MValue,SValue,MValue_Mean,SValue_Mean,MValue_Analyze,SValue_Analyze
159,44.44,2.415,44.355,2.407,1.5,0.2
160,44.43,2.415,44.36000000000001,2.4079166666666665,1.3,0.2
161,44.43,2.415,44.36416666666667,2.4088333333333334,0.8999999999999999,0.2
162,44.36,2.415,44.362500000000004,2.4098333333333333,0.2,0.2
163,44.36,2.415,44.3775,2.4108333333333336,1.3,0.2
164,44.36,2.415,44.38333333333333,2.4118333333333335,2.1,0.2
165,44.05,2.415,44.36333333333334,2.41325,1.4000000000000001,0.2
166,44.05,2.419,44.34166666666667,2.415,4.2,0.3
167,44.13,2.419,44.32666666666666,2.4155,3.6999999999999997,0.2
168,44.15,2.419,44.303333333333335,2.415916666666667,3.8,0.1
169,44.15,2.419,44.27916666666666,2.4163333333333337,4.7,0.1
170,44.15,2.419,44.254999999999995,2.4166666666666665,4.8,0.1
171,44.15,2.408,44.23083333333333,2.4160833333333334,4.8,0.0
172,44.24,2.432,44.215,2.4175,4.0,0.1
173,44.39,2.432,44.211666666666666,2.4189166666666666,1.9,0.3
174,44.39,2.427,44.21416666666667,2.419916666666667,0.1,0.2
175,44.32,2.427,44.21083333333333,2.4209166666666664,0.1,0.2
176,44.32,2.428,44.2075,2.422,0.7000000000000001,0.2
177,44.34,2.428,44.23166666666666,2.4230833333333335,2.1,0.2
178,44.33,2.428,44.255,2.423833333333333,4.7,0.2
179,44.33,2.428,44.27166666666667,2.424583333333333,4.0,0.1
180,44.33,2.421,44.28666666666666,2.42475,3.2,0.1
181,44.34,2.421,44.3025,2.4249166666666664,3.1,0.0
182,44.34,2.421,44.318333333333335,2.4250833333333333,3.2,0.0
183,44.34,2.421,44.33416666666667,2.4261666666666666,3.2,0.1
184,44.34,2.426,44.3425,2.425666666666667,2.4,0.1
185,44.34,2.427,44.33833333333334,2.4252499999999997,0.4,0.1
186,44.34,2.427,44.33416666666667,2.4252499999999997,0.8,0.0
187,44.34,2.428,44.33583333333334,2.425333333333333,0.2,0.0
188,44.35,2.427,44.33833333333334,2.4252499999999997,0.4,0.0
189,44.35,2.427,44.33916666666667,2.4251666666666662,0.3,0.0
190,44.35,2.427,44.340833333333336,2.4250833333333333,0.2,0.0
191,44.35,2.427,44.3425,2.4250000000000003,0.3,0.0
192,44.35,2.427,44.344166666666666,2.4255,0.3,0.0
193,44.35,2.427,44.345,2.426,0.2,0.1
194,44.35,2.427,44.34583333333333,2.4265000000000003,0.2,0.1
195,44.35,2.427,44.34666666666667,2.427,0.2,0.1
196,44.35,2.426,44.3475,2.427,0.2,0.0
197,44.35,2.426,44.348333333333336,2.4269166666666666,0.2,0.0
198,44.35,2.426,44.34916666666667,2.4268333333333336,0.2,0.0
199,44.35,2.426,44.35,2.4266666666666667,0.2,0.0
200,44.35,2.426,44.35,2.4265833333333338,0.1,0.0
201,44.35,2.426,44.35,2.4265000000000003,0.0,0.0
202,44.35,2.426,44.35,2.426416666666667,0.0,0.0
203,44.35,2.426,44.35,2.4263333333333335,0.0,0.0
204,44.35,2.446,44.35,2.427916666666667,0.0,0.2
205,44.54,2.446,44.365833333333335,2.4295,1.6,0.3
206,44.54,2.441,44.38166666666666,2.4306666666666668,3.2,0.3
207,44.47,2.441,44.39166666666667,2.4318333333333335,2.6,0.2
208,44.47,2.44,44.401666666666664,2.433,2.0,0.2
209,44.46,2.44,44.410833333333336,2.4341666666666666,1.9,0.2
210,44.47,2.44,44.42083333333333,2.4353333333333333,1.9,0.2
211,44.47,2.43,44.43083333333333,2.4356666666666666,2.0,0.2
212,44.56,2.43,44.44833333333333,2.436,2.8000000000000003,0.1
213,44.56,2.422,44.465833333333336,2.4356666666666666,3.5000000000000004,0.0
214,44.38,2.424,44.468333333333334,2.4354999999999998,2.0,0.1
215,44.39,2.424,44.471666666666664,2.4353333333333333,0.6,0.0
216,44.39,2.432,44.475,2.4341666666666666,0.7000000000000001,0.1
217,44.51,2.434,44.472500000000004,2.4331666666666667,0.1,0.2
218,44.53,2.434,44.471666666666664,2.432583333333333,0.3,0.2
219,44.53,2.434,44.47666666666667,2.432,0.4,0.1
220,44.54,2.434,44.482499999999995,2.4314999999999998,1.0999999999999999,0.1
221,44.54,2.435,44.48916666666667,2.4310833333333335,1.3,0.1
222,44.54,2.435,44.495000000000005,2.4306666666666668,1.3,0.1
223,44.54,2.435,44.50083333333333,2.4310833333333335,1.2,0.0
224,44.54,2.435,44.49916666666667,2.4315,0.4,0.1
225,44.55,2.418,44.498333333333335,2.4311666666666665,0.2,0.0
226,44.4,2.418,44.5,2.4306666666666668,0.1,0.1
227,44.4,2.419,44.50083333333333,2.43025,0.2,0.1
228,44.48,2.419,44.50833333333333,2.4291666666666667,0.8,0.2
229,44.48,2.421,44.50583333333333,2.4280833333333334,0.5,0.2
230,44.51,2.425,44.50416666666666,2.4273333333333333,0.4,0.2
231,44.59,2.425,44.509166666666665,2.4265833333333333,0.3,0.2
232,44.59,2.426,44.51333333333333,2.4259166666666667,0.8999999999999999,0.1
233,44.6,2.425,44.51833333333334,2.4250833333333333,0.8999999999999999,0.2
234,44.59,2.425,44.5225,2.4242500000000002,0.8999999999999999,0.2
235,44.59,2.438,44.526666666666664,2.4244999999999997,0.8,0.1
236,44.68,2.438,44.538333333333334,2.42475,1.6,0.0
237,44.68,2.437,44.54916666666667,2.4263333333333335,2.3,0.2
238,44.66,2.437,44.57083333333333,2.427916666666667,3.2,0.3
239,44.66,2.437,44.5925,2.4294166666666666,4.3,0.3
240,44.66,2.436,44.607499999999995,2.4308333333333336,3.6999999999999997,0.3
241,44.65,2.436,44.62166666666667,2.4320833333333334,2.9000000000000004,0.3
242,44.65,2.436,44.63333333333333,2.433,2.6,0.2
243,44.64,2.435,44.637499999999996,2.4338333333333333,1.6,0.2
244,44.63,2.435,44.64083333333334,2.4345833333333333,0.8,0.2
245,44.63,2.43,44.64333333333334,2.435,0.6,0.1
246,44.62,2.43,44.645833333333336,2.435416666666667,0.5,0.1
247,44.62,2.43,44.64833333333333,2.43475,0.5,0.0
248,44.62,2.43,44.643333333333324,2.434083333333333,0.3,0.1
249,44.7,2.43,44.645,2.4335,0.3,0.1
250,44.7,2.429,44.64833333333333,2.4328333333333334,0.5,0.1
251,44.72,2.429,44.653333333333336,2.432166666666667,0.8,0.1
252,44.73,2.429,44.659166666666664,2.431583333333333,1.0999999999999999,0.1
253,44.73,2.429,44.66583333333333,2.431,1.2,0.1
254,44.73,2.428,44.67249999999999,2.430333333333333,1.3,0.1
255,44.72,2.428,44.67916666666667,2.42975,1.3,0.1
256,44.72,2.428,44.68666666666667,2.4291666666666667,1.4000000000000001,0.1
257,44.71,2.428,44.693333333333335,2.429,1.4000000000000001,0.1
258,44.71,2.428,44.70083333333333,2.428833333333333,1.4000000000000001,0.0
259,44.7,2.427,44.7075,2.428583333333333,1.4000000000000001,0.0
260,44.7,2.427,44.714166666666664,2.4283333333333332,1.3,0.0
261,44.7,2.435,44.71416666666667,2.42875,0.7000000000000001,0.0
262,44.7,2.433,44.71416666666667,2.4290833333333333,0.0,0.1
263,44.58,2.433,44.70249999999999,2.4294166666666666,1.2,0.1
264,44.58,2.432,44.69,2.4296666666666664,2.4,0.1
265,44.56,2.432,44.67583333333334,2.4299166666666667,2.7,0.1
266,44.56,2.431,44.66166666666667,2.4301666666666666,2.8000000000000003,0.1
267,44.56,2.431,44.64833333333333,2.4304166666666664,2.8000000000000003,0.0
268,44.56,2.431,44.635,2.4306666666666668,2.7,0.1
269,44.56,2.425,44.6225,2.4304166666666664,2.6,0.0
270,44.82,2.409,44.63166666666667,2.4288333333333334,0.3,0.2
271,44.36,2.409,44.60333333333333,2.4273333333333333,1.9,0.3
272,44.36,2.399,44.574999999999996,2.4250000000000003,5.7,0.4
273,44.35,2.399,44.54583333333334,2.422,5.7,0.5
274,44.35,2.405,44.51666666666666,2.4196666666666666,5.800000000000001,0.5
275,44.47,2.406,44.5075,2.4174166666666665,3.8,0.5
276,44.54,2.406,44.50416666666666,2.41525,1.2,0.4
277,44.54,2.413,44.5025,2.413666666666667,0.5,0.4
278,44.64,2.413,44.509166666666665,2.412166666666667,0.5,0.3
279,44.64,2.414,44.51583333333334,2.4107499999999997,1.3,0.3
280,44.81,2.413,44.53666666666667,2.4092499999999997,2.8000000000000003,0.3
